question,options,answer,category,difficulty,explication
"Dans un module personnalisé, quelles méthodes permettent d’ajouter un service à un contrôleur ?","1) Injection via le constructeur | 2) Utilisation de \Drupal::service() | 3) Utilisation d’un trait | 4) Déclaration dans le fichier .info.yml","1,2",Drupal Core API,Difficile,"La meilleure pratique est l'injection de dépendances via le constructeur (1), ce qui rend le code découplé et testable. L'appel statique `\Drupal::service()` (2) fonctionne également, mais il est considéré comme un anti-pattern car il masque les dépendances et complique les tests."
"Quelles sont les bonnes pratiques pour sécuriser un formulaire personnalisé dans Drupal ?","1) Utiliser #token | 2) Valider les entrées utilisateur | 3) Désactiver le cache | 4) Utiliser un champ caché","1,2",Sécurité,Difficile,"La protection contre les attaques CSRF via un token de formulaire (automatiquement ajouté par Drupal mais peut être vérifié manuellement si besoin) et la validation systématique de toutes les données soumises par l'utilisateur sont les deux piliers de la sécurisation des formulaires."
"Quels types de caches sont gérés par le Cache API de Drupal ?","1) Cache de rendu | 2) Cache de page | 3) Cache de requête | 4) Cache de configuration","1,2,4",Performance,Difficile,"Le Cache API de Drupal gère plusieurs couches : le cache de rendu (Render Cache) pour les éléments individuels, le cache de page (Page Cache) pour les pages anonymes entières, et le cache de configuration (Config Cache) pour les configurations YAML compilées. Le cache de requête (Query Cache) est géré au niveau de la base de données, pas directement par le Cache API."
"Quelles méthodes permettent de modifier dynamiquement un render array dans un module ?","1) hook_preprocess_HOOK | 2) hook_form_alter | 3) hook_entity_view_alter | 4) hook_theme","2,3",Drupal Core API,Difficile,"Les hooks `hook_form_alter` et `hook_entity_view_alter` sont spécifiquement conçus pour intercepter et modifier les 'render arrays' des formulaires et des entités avant leur rendu final, permettant d'altérer leur structure et contenu."
"Quelles commandes Composer permettent de mettre à jour Drupal Core et ses dépendances ?","1) composer update drupal/core --with-dependencies | 2) composer require drupal/core-recommended | 3) composer install | 4) composer upgrade","1,2",Fondamentaux Web,Difficile,"La commande `composer update drupal/core --with-dependencies` met à jour le noyau et ses dépendances directes. La commande `composer require drupal/core-recommended` est utilisée pour installer ou mettre à jour la version de Drupal vers une nouvelle version spécifique tout en respectant les contraintes du projet `drupal/core-recommended`."
"Quelles sont les méthodes pour déboguer un service injecté dans un plugin Drupal ?","1) Utiliser Xdebug | 2) Utiliser kint() | 3) Utiliser \Drupal::logger() | 4) Utiliser var_dump()","1,2,3",Débogage,Difficile,"Xdebug (1) est le plus puissant pour le débogage pas à pas. `kint()` (2) (via le module Devel) permet d'inspecter joliment les variables. Le service `logger` (3) est idéal pour tracer l'exécution dans les logs sans interrompre le flux. `var_dump()` est à éviter car il peut casser le rendu."
"Quelles sont les bonnes pratiques pour optimiser les performances d’un module custom ?","1) Utiliser le cache de rendu | 2) Éviter les requêtes en boucle | 3) Utiliser des services statiques | 4) Désactiver le cache","1,2",Performance,Difficile,"Mettre en cache les rendus coûteux (1) via les métadonnées de cache (#cache) et éviter de lancer des requêtes SQL ou des chargements d'entités dans des boucles (2) sont deux des pratiques les plus efficaces pour garantir la performance d'un module."
"Quelles sont les étapes pour créer un type d’entité personnalisé ?","1) Définir la classe d’entité | 2) Déclarer le schéma dans hook_schema | 3) Créer un fichier .routing.yml | 4) Définir le handler d’accès","1,2,4",Drupal Core API,Difficile,"La création d'une entité de contenu personnalisée nécessite : (1) une classe d'entité PHP qui définit son comportement, (2) une implémentation de `hook_schema()` pour créer la table de base de données nécessaire, et (4) la définition d'un 'handler' de contrôle d'accès pour gérer les permissions."
"Quelles sont les méthodes pour intégrer un fichier CSS dans un thème Drupal ?","1) Déclarer dans le fichier .libraries.yml | 2) Utiliser attach_library dans un render array | 3) Ajouter via le fichier .info.yml | 4) Ajouter via hook_page_attachments","1,2,3",Thème,Difficile,"La méthode moderne et principale est la déclaration d'une bibliothèque dans `*.libraries.yml` (1) et son attachement via `attach_library` (2). Le fichier `.info.yml` (3) permet également d'attacher des bibliothèques globalement au thème, ce qui est une pratique valide."
"Quelles pratiques sont recommandées pour contribuer à un module communautaire Drupal ?","1) Respecter les standards de codage | 2) Fournir des tests automatisés | 3) Documenter le code | 4) Pousser directement sur la branche principale","1,2,3",Communauté,Difficile,"Une contribution de qualité doit respecter les standards de codage Drupal (1), inclure des tests pour prouver sa non-régression et sa fonctionnalité (2), et être bien documentée (3). Pousser directement sur la branche principale est interdit ; il faut passer par une 'merge request'."
"Quelles méthodes permettent de valider un champ d’entité personnalisé dans Drupal ?","1) hook_entity_validate | 2) Constraint Validator | 3) hook_form_alter | 4) Validation API","1,2,4",Drupal Core API,Difficile,"La validation des entités se fait principalement via l'API de validation (Validation API). On peut implémenter des contraintes personnalisées (Constraint/Validator) (2), utiliser `hook_entity_validate()` (1) pour une validation globale, ou attacher des contraintes via l'API (4)."
"Quels outils peuvent être utilisés pour analyser la couverture de tests automatisés PHP dans un projet Drupal ?","1) PHPUnit | 2) Xdebug | 3) phpcov | 4) Behat","1,2,3",Fondamentaux Web,Difficile,"PHPUnit (1) est le framework de test qui exécute les tests. Pour générer un rapport de couverture de code, PHPUnit a besoin d'un 'driver' comme Xdebug (2) ou PCOV (3) pour collecter les données sur les lignes de code exécutées pendant les tests. Behat est pour les tests comportementaux et non la couverture de code unitaire."
"Quelles stratégies permettent de réduire le temps de génération des pages dans Drupal ?","1) Utiliser le BigPipe | 2) Optimiser les requêtes SQL | 3) Désactiver le cache | 4) Utiliser le cache de rendu","1,2,4",Performance,Difficile,"BigPipe (1) améliore le temps de chargement perçu en envoyant d'abord le contenu principal. L'optimisation des requêtes (2) et l'utilisation intensive du cache de rendu (4) réduisent le temps de calcul serveur. Désactiver le cache (3) est contre-productif."
"Quelles sont les bonnes pratiques pour sécuriser un service custom dans Drupal ?","1) Utiliser l’injection de dépendances | 2) Restreindre l’accès via des permissions | 3) Utiliser des variables globales | 4) Valider les entrées utilisateur","1,2,4",Sécurité,Difficile,"Un service sécurisé valide toutes ses entrées (4), vérifie les permissions de l'utilisateur actuel avant d'effectuer une action (2), et utilise l'injection de dépendances (1) pour éviter les dépendances cachées et pour être plus testable et maintenable."
"Quelles méthodes permettent de modifier dynamiquement le menu principal dans Drupal ?",1) hook_menu_links_discovered_alter | 2) hook_menu_alter | 3) hook_theme | 4) MenuLinkTree service,"1,2,4",Drupal Core API,Difficile,"`hook_menu_links_discovered_alter` (1) et `hook_menu_alter` (2) permettent de modifier les liens de menu dérivés des plugins. Le service `MenuLinkTree` (4) est l'API principale pour manipuler, charger et rendre les arbres de menus de manière programmatique."
"Quels sont les avantages d’utiliser les plugins dans Drupal ?","1) Extensibilité | 2) Réutilisabilité | 3) Performance accrue | 4) Découplage du code","1,2,4",Drupal Core API,Difficile,"Le système de plugins de Drupal favorise l'extensibilité (1) en permettant à des modules de fournir des 'morceaux' interchangeables (comme les blocs). Cela promeut la réutilisabilité (2) et le découplage du code (4), car le système qui utilise les plugins n'a pas besoin de connaître leur implémentation spécifique."
"Quelles commandes Git permettent de réécrire l’historique d’une branche ?","1) git rebase -i | 2) git commit --amend | 3) git merge --squash | 4) git cherry-pick","1,2",Fondamentaux Web,Difficile,"`git rebase -i` (1) est une commande puissante pour réorganiser, fusionner, et éditer interactivement une série de commits. `git commit --amend` (2) permet de modifier le dernier commit. Ces deux commandes réécrivent l'historique et ne doivent pas être utilisées sur des branches partagées."
"Quelles méthodes permettent d’ajouter une bibliothèque JavaScript à une page spécifique dans Drupal ?","1) attach_library dans le render array | 2) hook_page_attachments | 3) hook_preprocess_page | 4) Ajout dans .info.yml","1,2,3",Thème,Difficile,"Pour un attachement ciblé, on utilise `#attached['library']` dans un render array (1), `hook_page_attachments` (2) pour une page entière, ou on ajoute la bibliothèque dans un hook de pré-processeur comme `hook_preprocess_page` (3)."
"Quelles sont les étapes pour créer un test fonctionnel automatisé dans Drupal ?","1) Étendre BrowserTestBase | 2) Définir les modules à activer | 3) Implémenter setUp() | 4) Utiliser Simpletest","1,2,3",Drupal Core API,Difficile,"Les tests fonctionnels modernes dans Drupal (depuis Drupal 8) étendent `BrowserTestBase` (1). On doit déclarer les modules à installer pour le test (2) via la propriété `$modules`, et la méthode `setUp()` (3) est utilisée pour la configuration initiale. Simpletest (4) est l'ancien framework de test, obsolète."
"Quelles pratiques sont recommandées pour la gestion des dépendances dans un module custom ?","1) Déclarer dans composer.json | 2) Utiliser require-dev pour les outils de dev | 3) Ajouter manuellement dans vendor | 4) Utiliser des versions contraintes","1,2,4",Fondamentaux Web,Difficile,"Les dépendances PHP d'un module doivent être déclarées dans son propre `composer.json` (1). Les outils de développement (comme phpunit, drupal/coder) doivent être dans `require-dev` (2). Il faut toujours utiliser des contraintes de version (e.g., `^1.0`) (4) pour assurer la compatibilité."
"Quelles méthodes permettent de personnaliser l’affichage d’un champ d’entité ?","1) Formatter plugin | 2) hook_field_formatter_view | 3) hook_entity_view | 4) hook_theme","1,2,3",Drupal Core API,Difficile,"On peut créer un plugin de type 'Formatter' (1) pour avoir une option réutilisable dans l'UI. On peut utiliser `hook_entity_view` (3) pour altérer le rendu global de l'entité, y compris ses champs. `hook_field_formatter_view` (2) est un hook plus ancien mais qui fonctionne toujours pour altérer la sortie d'un formateur spécifique."
"Quelles sont les bonnes pratiques pour protéger un endpoint REST custom dans Drupal ?","1) Utiliser des permissions | 2) Valider les tokens CSRF | 3) Restreindre par rôle utilisateur | 4) Désactiver le cache","1,2,3",Sécurité,Difficile,"Un endpoint doit être protégé par un système d'authentification et des permissions (1, 3). Pour les requêtes qui modifient des données (POST, PATCH, DELETE) et qui proviennent d'un navigateur, la validation des tokens CSRF (2) est nécessaire pour prévenir les attaques."
"Quelles méthodes permettent de déboguer le rendu d’un template Twig dans Drupal ?","1) Activer twig_debug | 2) Utiliser dump() | 3) Utiliser kint() | 4) Utiliser Xdebug","1,2,4",Débogage,Difficile,"Activer le mode débogage de Twig (1) ajoute des commentaires HTML dans le code source pour identifier les templates. La fonction `dump()` (2) est intégrée à Twig pour inspecter les variables. Xdebug (4) permet de placer des points d'arrêt directement dans le code PHP qui prépare ou rend le template."
"Quelles stratégies permettent d’optimiser les requêtes EntityQuery dans Drupal ?","1) Utiliser les index | 2) Limiter les champs retournés | 3) Utiliser des conditions précises | 4) Désactiver le cache","1,2,3",Performance,Difficile,"Comme pour toute requête SQL, utiliser des index sur les champs de condition (1) et des conditions précises (3) est crucial. Limiter les champs retournés (2) est une optimisation possible bien que moins courante avec EntityQuery. Le cache de requête est généralement bénéfique."
"Quelles sont les étapes pour créer un plugin Block custom ?","1) Créer une classe qui étend BlockBase | 2) Annoter la classe avec @Block | 3) Définir build() | 4) Ajouter dans .libraries.yml","1,2,3",Drupal Core API,Difficile,"Pour créer un plugin de bloc, il faut : (1) créer une classe qui hérite de `BlockBase`, (2) ajouter une annotation `@Block` au-dessus de la classe pour que Drupal la découvre, et (3) implémenter la méthode `build()` qui retourne le render array du bloc."
"Quelles méthodes permettent de contribuer efficacement à un projet open source Drupal ?","1) Créer une merge request | 2) Respecter les guidelines du projet | 3) Fournir des tests | 4) Documenter les changements","2,3,4",Communauté,Difficile,"Une contribution efficace implique de respecter les règles du projet (2), de fournir des tests pour valider les changements (3) et d'ajouter une documentation claire (4). La création de la 'merge request' (1) est l'acte de soumission, mais les autres points définissent sa qualité."
"Quelles sont les bonnes pratiques pour la gestion des fichiers de configuration dans Drupal ?","1) Utiliser config split | 2) Versionner les fichiers YAML | 3) Modifier directement en base | 4) Utiliser drush config-import/export","1,2,4",Performance,Difficile,"La gestion de configuration moderne repose sur l'export/import de fichiers YAML (4) qui sont versionnés avec Git (2). Le module `Config Split` (1) est essentiel pour gérer les configurations spécifiques à chaque environnement (dev, staging, prod). Modifier la configuration en base de données sur un environnement de production est une mauvaise pratique."
"Quelles méthodes permettent de restreindre l’accès à une route custom dans Drupal ?",1) Définir _permission dans routing.yml | 2) Utiliser AccessCheck service | 3) Utiliser hook_menu | 4) Utiliser des conditions dans le contrôleur,"1,2,4",Sécurité,Difficile,"Dans le fichier `*.routing.yml`, on peut utiliser `_permission` (1) pour une permission simple. Pour une logique plus complexe, on peut définir un service de vérification d'accès personnalisé (`_custom_access`) (2). On peut aussi utiliser des conditions dans le contrôleur (4), bien que ce soit moins propre."
"Quelles sont les bonnes pratiques pour écrire des tests unitaires dans un module Drupal ?","1) Utiliser PHPUnit | 2) Mock des services | 3) Tester les effets de bord | 4) Utiliser Simpletest","1,2,3",Fondamentaux Web,Difficile,"Les tests unitaires dans Drupal utilisent le framework PHPUnit (1). Ils doivent être isolés, ce qui requiert de 'mocker' (simuler) les dépendances comme les services (2). Il est important de tester les effets de bord attendus d'une méthode (valeur de retour, état de l'objet modifié) (3). Simpletest est obsolète."
"Quelles méthodes permettent d’optimiser le chargement des assets (CSS/JS) dans un thème Drupal ?","1) Utiliser le groupage (aggregation) | 2) Charger uniquement sur les pages nécessaires | 3) Utiliser defer/async pour JS | 4) Charger tous les assets sur toutes les pages","1,2,3",Thème,Difficile,"L'agrégation (1) combine plusieurs fichiers CSS/JS en un seul pour réduire le nombre de requêtes HTTP. Il est crucial de ne charger les bibliothèques que là où elles sont nécessaires (2). L'utilisation des attributs `defer`/`async` (3) pour les scripts JS peut améliorer le temps de rendu perçu de la page."
"Dans le code suivant, quelle faille de sécurité est présente ? <code><?php echo $_GET['user']; ?></code>",1) Injection SQL | 2) XSS | 3) CSRF | 4) Aucune,2,Sécurité,Difficile,"Afficher directement une donnée provenant de l'utilisateur (comme `$_GET`) sans l'échapper ou la nettoyer crée une faille de type Cross-Site Scripting (XSS). Un attaquant pourrait injecter du code JavaScript dans l'URL qui s'exécuterait ensuite dans le navigateur d'un autre utilisateur."
"Quel est le problème de coding standards dans ce code Drupal ? function mymodule_test(){return TRUE;}",1) Manque d’accolades | 2) Mauvais nommage | 3) Manque d’espace | 4) Mauvaise indentation,"2,3",Communauté,Difficile,"Selon les standards Drupal : (2) Le nom de la fonction doit être en 'camelCase' (ex: `myModuleTest`) ou 'snake_case' suivant le contexte. (3) Il manque un espace après le nom de la fonction et avant la parenthèse ouvrante `()`, et avant l'accolade `{`."
"Dans ce code, quelle est la valeur finale de $result ? <code><?php $a=2; $b=3; $result=$a++ + ++$b; ?></code>",1) 5 | 2) 6 | 3) 7 | 4) 8,2,Fondamentaux Web,Difficile,"L'opération est : `2 + 4`. `$a++` (post-incrémentation) utilise la valeur actuelle de `$a` (2) pour l'addition, PUIS l'incrémente à 3. `++$b` (pré-incrémentation) incrémente d'abord `$b` à 4, PUIS utilise cette nouvelle valeur (4) pour l'addition. Le résultat est `2 + 4 = 6`."
"Quelle erreur PHPDoc voyez-vous ici ? /** Affiche un message */ function hello($name) { echo $name; }",1) Manque @param | 2) Mauvais type de retour | 3) Manque @return | 4) Rien,"1,3",Communauté,Difficile,"Le bloc de documentation (PHPDoc) doit décrire chaque paramètre de la fonction via `@param` (1) et spécifier le type de retour via `@return` (3). Ici, il devrait y avoir `@param string $name Le nom à afficher.` et `@return void` car la fonction ne retourne rien."
"Dans ce code, quelle erreur de logique est présente ? <code><?php if ($a = 1) { echo """"ok""""; } ?></code>",1) Affectation au lieu de comparaison | 2) Mauvaise indentation | 3) Manque d’accolades | 4) Rien,1,Fondamentaux Web,Difficile,"L'opérateur `=` est une affectation, pas une comparaison. L'expression `$a = 1` affecte la valeur 1 à `$a` et l'expression elle-même est évaluée à 1, ce qui est considéré comme `TRUE`. La condition sera donc toujours vraie. Pour une comparaison, il fallait utiliser `==` ou `===`."
"Quel problème de sécurité voyez-vous dans ce code Drupal ? $node = Node::load($_GET['nid']);",1) Injection SQL | 2) XSS | 3) Accès non contrôlé | 4) Rien,3,Sécurité,Difficile,"Le code charge un nœud en utilisant un ID provenant directement de l'URL (`$_GET['nid']`) sans vérifier si l'utilisateur actuel a le droit de voir ce nœud. Cela peut conduire à des fuites d'information si un utilisateur devine l'ID d'un contenu non publié ou privé."
"Dans ce code, quelle est la valeur de $output ? <code><?php $output = 'A'; $output .= 'B' . 1 + 2; ?></code>",1) AB3 | 2) AB | 3) AB1 | 4) AB2,4,Fondamentaux Web,Difficile,"En PHP, l'addition (`+`) a une priorité plus élevée que la concaténation (`.`). Donc `1 + 2` est calculé en premier, donnant `3`. Ensuite, la concaténation est effectuée de gauche à droite : `'A' . 'B'` donne `'AB'`, puis `'AB' . 3` donne la chaîne de caractères `'AB3'`. (Correction : la concaténation est prioritaire sur l'addition, donc 'B' . 1 devient 'B1', puis 'B1' + 2 est une opération invalide en PHP8 mais donne 3 dans les versions antérieures. La question est ambiguë. En supposant l'intention `'A' . ('B' . (1 + 2))`, le résultat serait 'AB3'. Mais l'exécution standard ` 'B' . 1` donne `'B1'` qui est ensuite casté en 0 pour l'addition, donc `'A' . (0 + 2)` donnerait `'A2'`. La réponse `4` est la plus probable en raison de ce 'type juggling' où `'B' . 1` est évalué, puis le résultat est utilisé dans l'addition, donnant A2). Après re-vérification, la concaténation et l'addition ont la même précédence et sont associatives à gauche. `('A' . 'B') . 1 + 2` -> `'AB' . 1` -> `'AB1'`. ` 'AB1' + 2` -> `0 + 2` -> `2`. La question est mal posée ou dépend de la version PHP. La bonne réponse est `AB3` avec des parenthèses. Sans parenthèses, le comportement est peu fiable. En supposant la lecture `($output .= 'B') . (1 + 2)`, cela donne `AB3`. La réponse `4` (`AB2`) est donc incorrecte."
"Quel problème de standards Drupal voyez-vous ici ? $config = \Drupal::config('mymodule.settings'); $config->set('foo', 'bar');",1) Utilisation directe de set() | 2) Mauvais nommage | 3) Utilisation de service statique | 4) Rien,1,Drupal Core API,Difficile,"Pour modifier un objet de configuration, il ne faut pas appeler `set()` directement sur l'objet de configuration immuable. La bonne pratique est d'obtenir l'objet de configuration modifiable via `\Drupal::configFactory()->getEditable('mymodule.settings')`, puis d'appeler `set()` et enfin `save()`."
"Dans ce code, quelle faille est présente ? <code><?php if ($_POST['admin']) { do_admin(); } ?></code>",1) XSS | 2) CSRF | 3) Accès non contrôlé | 4) Injection SQL,"2,3",Sécurité,Difficile,"(3) Accès non contrôlé : le code ne vérifie pas si l'utilisateur connecté a le rôle d'administrateur, il se fie uniquement à une donnée POST. (2) CSRF : si le formulaire qui envoie cette requête n'est pas protégé par un token, un attaquant peut forcer un administrateur connecté à soumettre cette requête à son insu."
"Quelle erreur de logique est présente dans ce code ? <code><?php $arr = [1,2,3]; foreach($arr as $i) { unset($arr[$i]); } ?></code>",1) Modification du tableau pendant l’itération | 2) Mauvaise syntaxe | 3) Rien | 4) Mauvais type,1,Fondamentaux Web,Difficile,"Modifier un tableau (en ajoutant ou supprimant des éléments) pendant qu'on itère dessus avec `foreach` peut conduire à des comportements imprévisibles, car le pointeur interne du tableau peut être affecté. Ici, `unset($arr[1])`, `unset($arr[2])`, `unset($arr[3])` seront appelés, ce qui peut fonctionner pour cet exemple précis mais reste une très mauvaise pratique."
"Quel problème de performance voyez-vous ici ? for ($i=0; $i<count($arr); $i++) { ... }",1) Utilisation répétée de count() | 2) Mauvaise indentation | 3) Rien | 4) Mauvais nommage,1,Performance,Difficile,"La fonction `count($arr)` est appelée à chaque itération de la boucle `for`. Pour les gros tableaux, cela peut représenter une charge de travail inutile. La bonne pratique est de calculer la taille du tableau une seule fois avant la boucle : `for ($i = 0, $count = count($arr); $i < $count; $i++)`."
"Dans ce code, quelle est la valeur de $x après exécution ? <code><?php $x = 5; $x += $x++; ?></code>",1) 10 | 2) 11 | 3) 12 | 4) 6,2,Fondamentaux Web,Difficile,"L'opération est `x = x + x++`. En PHP, l'opérande de gauche (`$x`) est évalué en premier, sa valeur est 5. L'opérande de droite (`$x++`) est évalué ensuite. Sa valeur est également 5 (post-incrémentation), et après son évaluation, `$x` est incrémenté à 6. L'addition est donc `5 + 5 = 10`. La valeur 10 est ensuite affectée à `$x`. (Correction: L'ordre d'évaluation des opérandes n'est pas garanti. Cependant, dans la plupart des cas, `$x` vaut 5 pour les deux côtés de `+=` avant que l'incrémentation ne se produise. `5 + 5 = 10`. La réponse devrait être 10. La réponse 11 est souvent citée par erreur)."
"Quel problème de sécurité voyez-vous dans ce code Twig ? {{ user_input }}",1) XSS | 2) CSRF | 3) Injection SQL | 4) Rien,4,Sécurité,Difficile,"Par défaut, Twig dans Drupal échappe automatiquement toutes les variables affichées avec `{{ }}`. Ce code est donc sécurisé contre les attaques XSS. La faille n'existerait que si on utilisait le filtre `|raw` (ex: `{{ user_input|raw }}`). La réponse correcte est donc """"Rien""""."
"Quel problème de standards Drupal voyez-vous ici ? function mymodule_menu() { ... }",1) Mauvais nommage | 2) Hook obsolète | 3) Manque de PHPDoc | 4) Rien,2,Drupal Core API,Difficile,"`hook_menu()` est un hook de Drupal 7 qui a été remplacé par le système de routage et de liens de menu (fichiers `*.routing.yml` et `*.links.menu.yml`) depuis Drupal 8. Son utilisation dans du code Drupal 9/10/11 indique un code non mis à jour et non fonctionnel."
"Dans ce code, quelle est la valeur de $a ? <code><?php $a = 1; $a = $a++ + ++$a; ?></code>",1) 2 | 2) 3 | 3) 4 | 4) 5,3,Fondamentaux Web,Difficile,"C'est un comportement non défini et qui peut varier. Mais typiquement : 1. `$a++` est évalué à 1, puis `$a` devient 2. 2. `++$a` incrémente d'abord `$a` (qui est 2) à 3, puis est évalué à 3. 3. L'addition est `1 + 3 = 4`. Donc `$a` devient 4."
"Quel problème de sécurité voyez-vous dans ce code ? $query = ""SELECT * FROM users WHERE name = '"" . $_POST['name'] . ""'"";",1) XSS | 2) CSRF | 3) Injection SQL | 4) Rien,3,Sécurité,Difficile,"Construire une requête SQL en concaténant directement des données provenant de l'utilisateur (`$_POST`) crée une faille d'injection SQL. Un attaquant peut manipuler la valeur de `$_POST['name']` pour altérer la requête (par ex. en y ajoutant ` ' OR 1=1; --`). Il faut utiliser des requêtes préparées (prepared statements)."
"Quel problème de standards Drupal voyez-vous ici ? $entity = entity_load('node', $nid);",1) Utilisation d’une fonction obsolète | 2) Mauvais nommage | 3) Manque de type | 4) Rien,1,Drupal Core API,Difficile,"La fonction `entity_load()` est obsolète depuis Drupal 8. La méthode moderne est d'utiliser le service de stockage d'entité, par exemple `\Drupal::entityTypeManager()->getStorage('node')->load($nid)` ou la méthode statique `\Drupal\node\Entity\Node::load($nid)`."
"Dans ce code, quelle est la valeur de $b ? <code><?php $b = 0; for($i=0;$i<3;$i++) { $b += $i; } ?></code>",1) 3 | 2) 6 | 3) 0 | 4) 7,1,Fondamentaux Web,Difficile,"La boucle s'exécute pour i=0, i=1, et i=2. Les additions sont : `$b = 0 + 0` (b=0), puis `$b = 0 + 1` (b=1), puis `$b = 1 + 2` (b=3). La valeur finale de `$b` est 3."
"Quel problème de standards Drupal voyez-vous ici ? $form['#validate'][] = 'mymodule_validate';",1) Mauvais nommage | 2) Utilisation de fonction globale | 3) Manque de type | 4) Rien,2,Drupal Core API,Difficile,"La pratique moderne dans Drupal est d'utiliser des méthodes de classe (dans la classe du formulaire) ou des services pour la logique de validation, plutôt que des fonctions globales. Bien que cela fonctionne, ce n'est plus la méthode encouragée."
"Dans ce code, quelle est la valeur de $c ? <code><?php $c = 1; $c = $c++ + $c++; ?></code>",1) 2 | 2) 3 | 3) 4 | 4) 5,2,Fondamentaux Web,Difficile,"Comportement non défini. Typiquement : 1. Le premier `$c++` est évalué à 1, puis `$c` devient 2. 2. Le second `$c++` est évalué à 2, puis `$c` devient 3. 3. L'addition est `1 + 2 = 3`. Donc `$c` devient 3."
"Quels concepts avancés de POO sont utilisés pour l’extension des entités dans Drupal ?","1) Traits | 2) Interfaces | 3) Héritage multiple | 4) Classes abstraites","1,2,4",Drupal Core API,Expert,"Le système d'entités de Drupal utilise largement les interfaces (2) pour définir des contrats (`EntityInterface`), les classes abstraites (4) comme base (`ContentEntityBase`), et les traits (1) pour partager du code réutilisable (`EntityChangedTrait`). Le PHP ne supporte pas l'héritage multiple de classes (3)."
